Poster,Title,Year,Genre,Cast,Rating
"https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UY209_CR0,0,140,209_AL_.jpg",The Gentlemen,2023.0,"Action, Crime","Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",7.8
"https://m.media-amazon.com/images/M/MV5BZDY0YzI0OTctYjVhYy00MTVhLWE0NTgtYTRmYTBmOTE3YTViXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX140_CR0,0,140,209_AL_.jpg",Kung Fu Panda 4,2023.0,"Animation, Action, Adventure","Stephanie Stine, Jack Black, Awkwafina, Viola Davis, Dustin Hoffman",6.3
"https://m.media-amazon.com/images/M/MV5BYzRmOGQwZjktYjM2Ni00M2NmLWFlZDYtZGFhM2RkM2VhZDI1XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_UX140_CR0,0,140,209_AL_.jpg",The Zone of Interest,2023.0,"Drama, History, War","Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte",7.4
"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR3,0,140,209_AL_.jpg",The Godfather,2023.0,"Crime, Drama","Marlon Brando, Al Pacino, James Caan, Diane Keaton",9.2
"https://m.media-amazon.com/images/M/MV5BNmYyZGQzM2YtYTY3My00NGE5LWIzMmQtMDIxMTFhMGIxZDhhXkEyXkFqcGdeQXVyMTY0Njc2MTUx._V1_UY209_CR0,0,140,209_AL_.jpg",Immaculate,2023.0,Horror,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli",5.9
"https://m.media-amazon.com/images/M/MV5BZmNiNzJkYTQtNGUxMS00MWY4LTg0YjQtYmQ3MWY4NWUxYzBmXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Planet of the Apes,2023.0,"Adventure, Sci-Fi","Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",8.0
"https://m.media-amazon.com/images/M/MV5BMzczMmQ0NTItM2JkZi00MTRhLTg5OGMtZWEyZTE2ZDgwM2FjXkEyXkFqcGdeQXVyMTU1MDczNjU1._V1_UY209_CR3,0,140,209_AL_.jpg",Pamyo,2023.0,"Horror, Mystery, Thriller","Kim Go-eun, Choi Min-sik, Lee Do-hyun, Yoo Hae-jin",7.0
"https://m.media-amazon.com/images/M/MV5BNjU3N2QxNzYtMjk1NC00MTc4LTk1NTQtMmUxNTljM2I0NDA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",Barbie,2023.0,"Adventure, Comedy, Fantasy","Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon",6.8
"https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY209_CR0,0,140,209_AL_.jpg",Titanic,2023.0,"Drama, Romance","Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",7.9
"https://m.media-amazon.com/images/M/MV5BNGUzOTdjMGEtMGI1Yi00ZTBlLTk3NDctMThkYjkzNGY0OTg3XkEyXkFqcGdeQXVyMzE2MDIwMg@@._V1_UY209_CR0,0,140,209_AL_.jpg",In the Land of Saints & Sinners,2023.0,"Action, Crime, Thriller","Kerry Condon, Desmond Eastwood, Conor MacNeill, Seamus O'Hara",6.3
